Date,Predicted_HashRate,Actual_HashRate
2022-05-06,2.0721553860861297e+20,2.1031450093020978e+20
2022-05-07,2.1082672563478364e+20,2.1179558896492954e+20
2022-05-08,2.096823919523956e+20,2.2956864538156696e+20
2022-05-09,2.0428076948805347e+20,2.2956864538156696e+20
2022-05-10,1.9863436103901426e+20,2.2660646931212737e+20
2022-05-11,1.8882314880282155e+20,2.2525759789129607e+20
2022-05-12,2.0320280902427676e+20,2.097225911401722e+20
2022-05-13,1.9485863588881488e+20,2.3613210261708276e+20
2022-05-16,2.0066462996550163e+20,2.547741107184314e+20
2022-05-17,1.917140764247671e+20,2.283645992415208e+20
2022-05-25,1.967501723802133e+20,2.2370409721618366e+20
2022-05-26,1.934061056579131e+20,2.095553698571783e+20
2022-05-27,1.988526260970648e+20,2.0509674496660007e+20
2022-05-28,2.0008930837049796e+20,2.1995882793519432e+20
2022-05-29,2.0707461213818844e+20,2.2144503623205372e+20
2022-05-30,2.0546134820876557e+20,2.2887607771635083e+20
2022-05-31,2.141467390285869e+20,2.1698641134147545e+20
2022-06-03,2.089786256825185e+20,2.125277864508972e+20
2022-06-04,2.1345510956529543e+20,2.0658295326345953e+20
2022-06-05,2.2045880839291145e+20,2.1698641134147545e+20
2022-06-06,2.2232101771643526e+20,2.2293124452891315e+20
2022-06-07,2.3352798258568665e+20,2.4076574409122614e+20
2022-06-08,2.147590828253166e+20,2.6795954238055603e+20
2022-06-09,2.141852121724446e+20,2.197870403795572e+20
2022-06-10,2.1506908562491127e+20,2.212924310670884e+20
2022-06-13,1.910415268122021e+20,2.002169614416514e+20
2022-06-14,1.9909100419568e+20,2.197870403795572e+20
2022-06-18,2.0417978371107527e+20,2.3484094725486933e+20
2022-06-19,2.0759541160124878e+20,2.002169614416514e+20
2022-06-20,2.2546308521552858e+20,1.9871157075412025e+20
2022-06-25,2.252473687437505e+20,2.2196109944195295e+20
2022-06-26,2.257862655498367e+20,2.0285186571516232e+20
2022-06-27,2.3089344716806003e+20,1.999119836033483e+20
2022-06-28,2.311357910292039e+20,2.146113941624181e+20
2022-06-29,2.3844241750754777e+20,2.2196109944195295e+20
2022-06-30,2.203949741118306e+20,2.513599205600924e+20
2022-07-01,2.2209703946298314e+20,1.969721014915344e+20
2022-07-02,2.3244433336734672e+20,2.0285186571516232e+20
2022-07-03,2.2696279761510295e+20,2.2784086366558083e+20
2022-07-07,2.4048502592951566e+20,2.2752337780715382e+20
2022-07-08,2.3017777482645733e+20,2.14480636404196e+20
2022-07-09,2.4138578599786018e+20,1.941919275551504e+20
2022-07-15,2.3235762402236072e+20,2.0578547546889077e+20
2022-07-18,2.3221455206627177e+20,1.898443470874978e+20
2022-07-21,2.3184928602549138e+20,2.0143789500123808e+20
2022-07-22,2.441111781076135e+20,1.8171186263872543e+20
2022-07-23,2.4082342211979837e+20,2.11997173078513e+20
2022-07-24,2.2784630205339514e+20,2.1612698813848404e+20
2022-07-25,2.3546606927356956e+20,1.9547791283862887e+20
2022-07-26,2.3974664595327733e+20,2.2025680319845505e+20
2022-07-27,2.3225676438848415e+20,2.271398282984068e+20
2022-07-28,2.3436497799546824e+20,1.9410130781863848e+20
2022-07-31,2.2481344491025855e+20,2.092439630385323e+20
2022-08-01,2.357428907316245e+20,1.872182827186868e+20
2022-08-02,2.3093622129812518e+20,2.1337377809850335e+20
2022-08-03,2.2062621727191623e+20,1.996077278985999e+20
