Date,Predicted_HashRate,Actual_HashRate
2022-08-21,2.273471104047876e+20,2.0576743828523595e+20
2022-08-22,2.52348799881904e+20,2.0435807226958365e+20
2022-08-23,2.2926088112184335e+20,2.4241095469219575e+20
2022-08-24,2.4255552156131675e+20,2.0576743828523595e+20
2022-08-25,2.6003211061290277e+20,2.2408919648871583e+20
2022-08-26,2.266629892770609e+20,2.4804841875480497e+20
2022-08-27,2.411900876077254e+20,2.0435807226958365e+20
2022-08-28,2.3723147491226367e+20,2.269079285200205e+20
2022-08-29,2.494186060844283e+20,2.2127046445741126e+20
2022-08-30,2.3397040737719845e+20,2.2831729453567273e+20
2022-08-31,2.2685094279322062e+20,2.2482212892014556e+20
2022-09-01,2.2245811029502424e+20,2.1250310815739783e+20
2022-09-02,2.380496741329032e+20,1.9864420979930667e+20
2022-09-03,2.613134641558981e+20,2.2636200651548895e+20
2022-09-04,2.4770290043424693e+20,2.5869943601770168e+20
2022-09-05,2.353563225807707e+20,2.3560127208754977e+20
2022-09-06,2.3542902772073405e+20,2.1866261853877168e+20
2022-09-07,2.2685094279322062e+20,2.2482212892014556e+20
2022-09-08,2.4729643151063672e+20,1.9556445460861977e+20
2022-09-09,2.595512988575875e+20,2.2636200651548895e+20
2022-09-10,2.8297116664993736e+20,2.4176078246892365e+20
2022-09-11,2.5987954820873477e+20,2.817975999478537e+20
2022-09-12,2.3837344675063742e+20,2.3560127208754977e+20
2022-09-13,2.2245811029502424e+20,2.1096323056205437e+20
2022-09-14,2.4286666839420355e+20,2.023088999749455e+20
2022-09-15,2.2245811029502424e+20,2.3416856926233857e+20
2022-09-16,2.63664716594797e+20,2.039018834393152e+20
2022-09-17,2.4947595475669713e+20,2.708071889428405e+20
2022-09-18,2.4286666839420355e+20,2.4531945351292607e+20
2022-09-19,2.439108352497147e+20,2.070878503680545e+20
2022-09-20,2.3002809232729214e+20,2.421334865841868e+20
2022-09-21,2.2245811029502424e+20,2.2461066847612063e+20
2022-09-22,2.1962500837400576e+20,2.039018834393152e+20
2022-09-23,2.397882531862767e+20,2.1505276768990275e+20
2022-09-24,2.404254576854962e+20,2.3257558579796892e+20
2022-09-25,2.517911132557229e+20,2.3416856926233857e+20
2022-09-26,2.4286666839420355e+20,2.3894751965544753e+20
2022-09-27,2.5691729357978183e+20,2.0549486690368484e+20
2022-09-28,2.5011301910689363e+20,2.3384119581300297e+20
