Date,Efficiency,BlockSpeed,BTC,USD,HashRate,BTCPrice,ElectricityPrice
2022-09-29,38.96422303221721,10.06993006993007,893.75,17373874.375,2.229286066750628e+20,19439.3,4.68
2022-09-30,38.96422303221721,8.520710059171599,1056.25,20579658.125,2.634610806159833e+20,19483.7,4.68
2022-10-01,38.605470219110586,7.955801104972376,1131.25,21861440.1875,2.8216837628102355e+20,19325.03,4.88
2022-10-02,38.605470219110586,9.171974522292992,981.25,18893664.5625,2.4475378495094312e+20,19254.69,4.88
2022-10-03,38.605470219110586,9.35064935064935,962.5,18506892.25,2.4007696103468306e+20,19227.94,4.88
2022-10-04,39.164575743136965,8.83435582822086,1018.75,20330511.1875,2.541074327834632e+20,19956.33,4.88
2022-10-05,40.0679122556147,8.228571428571428,1093.75,22050393.75,2.728147284485034e+20,20160.36,4.88
2022-10-06,40.0679122556147,9.056603773584904,993.75,20017165.875,2.4787166756178313e+20,20143.06,4.88
2022-10-07,40.0679122556147,8.421052631578947,1068.75,21283835.625,2.6657896322682333e+20,19914.7,4.88
2022-10-08,40.0679122556147,8.228571428571428,1093.75,21330815.625,2.728147284485034e+20,19502.46,4.88
2022-10-09,40.0679122556147,9.113924050632912,987.5,19193593.125,2.463127262563631e+20,19436.55,4.88
2022-10-10,40.0679122556147,8.571428571428571,1050.0,20291953.5,2.9739732617887416e+20,19325.67,4.88
2022-10-11,40.0679122556147,9.171974522292992,981.25,18711220.75,2.7792488220287648e+20,19068.76,4.88
2022-10-12,39.164575743136965,10.510948905109489,856.25,16369693.3125,2.4252043861015337e+20,19117.89,4.88
2022-10-13,38.605470219110586,10.06993006993007,893.75,17066728.25,2.531417716879703e+20,19095.64,4.88
2022-10-14,38.229065806821055,9.23076923076923,975.0,19109522.25,2.7615466002324036e+20,19599.51,4.88
2022-10-15,38.229065806821055,9.473684210526317,950.0,18192557.0,2.690737713046957e+20,19150.06,4.88
2022-10-16,38.229065806821055,10.0,900.0,17229159.0,2.549119938676065e+20,19143.51,4.88
2022-10-17,38.229065806821055,9.6,937.5,18247893.75,2.655333269454234e+20,19464.42,4.88
2022-10-18,38.229065806821055,10.140845070422536,887.5,17335990.125,2.5137154950833416e+20,19533.51,4.88
2022-10-19,37.55399807990078,9.536423841059603,943.75,18128937.3125,2.673035491250595e+20,19209.47,4.88
2022-10-20,37.55399807990078,9.93103448275862,906.25,17347600.625,2.5668221604724264e+20,19142.18,4.88
2022-10-21,37.55399807990078,9.23076923076923,975.0,18590344.5,2.7615466002324036e+20,19067.02,4.88
2022-10-22,37.55399807990078,10.588235294117649,850.0,16299412.999999998,2.407502164305172e+20,19175.78,4.88
2022-10-23,37.55399807990078,9.290322580645162,968.75,18591077.8125,2.743844378436042e+20,19190.79,4.88
2022-10-24,37.55399807990078,10.588235294117649,850.0,16443734.5,2.4903119274934908e+20,19345.57,4.88
2022-10-25,37.55399807990078,11.80327868852459,762.5,14750638.749999998,2.233956287898573e+20,19345.1,4.88
2022-10-26,37.55399807990078,9.290322580645162,968.75,19974452.8125,2.8382231526580227e+20,20618.79,4.88
2022-10-27,37.55399807990078,10.666666666666666,843.75,17407760.625,2.472000810379568e+20,20631.42,4.88
2022-10-28,37.55399807990078,9.056603773584904,993.75,20169945.0,2.9114676211137128e+20,20296.8,4.88
2022-10-29,37.55399807990078,10.06993006993007,893.75,18578372.3125,2.61848974729095e+20,20786.99,4.88
2022-10-30,37.55399807990078,10.666666666666666,843.75,17479479.375,2.472000810379568e+20,20716.42,4.88
2022-10-31,37.55399807990078,8.323699421965317,1081.25,22162781.3125,3.1678232607086313e+20,20497.37,4.88
2022-11-01,37.55399807990078,10.0,900.0,18448182.0,2.636800864404873e+20,20497.98,5.08
2022-11-02,37.55399807990078,11.80327868852459,762.5,15584607.875000002,2.233956287898573e+20,20438.83,5.08
2022-11-03,37.55399807990078,8.78048780487805,1025.0,20773049.75,3.0030232066833265e+20,20266.39,5.08
2022-11-04,37.55399807990078,11.16279069767442,806.25,16623093.1875,2.3621341076960313e+20,20617.79,5.08
2022-11-05,37.55399807990078,9.536423841059603,943.75,20124543.875,2.7649786842023317e+20,21324.02,5.08
2022-11-06,37.55399807990078,10.510948905109489,856.25,18176363.6875,2.5086230446074128e+20,21227.87,5.08
2022-11-07,37.55399807990078,10.0,900.0,18691290.0,2.6315406942394417e+20,20768.1,5.08
2022-11-08,37.55399807990078,8.83435582822086,1018.75,20087498.5625,2.978757869173813e+20,19717.79,5.08
2022-11-09,37.55399807990078,9.664429530201344,931.25,16514191.5,2.722913635011645e+20,17733.36,5.08
2022-11-10,37.55399807990078,9.79591836734694,918.75,15373021.125,2.6863644587027635e+20,16732.54,5.08
2022-11-11,37.55399807990078,10.74626865671642,837.5,14361617.5,2.448794812695036e+20,17148.2,5.08
2022-11-12,37.24776182919055,8.622754491017965,1043.75,17581415.5625,3.0518562217915744e+20,16844.47,5.08
2022-11-13,37.24776182919055,11.16279069767442,806.25,13410243.375,2.3574218719228327e+20,16632.86,5.08
2022-11-14,36.520211084485254,11.707317073170731,768.75,12719491.5,2.24777434299619e+20,16545.68,5.08
2022-11-15,36.079544137035306,9.290322580645162,968.75,16296680.625000002,2.8325611639382884e+20,16822.38,5.08
2022-11-16,36.079544137035306,9.6,937.5,15649415.625,2.7411882231660852e+20,16692.71,5.08
2022-11-17,36.079544137035306,10.434782608695652,862.5,14317370.624999998,2.5218931653127986e+20,16599.85,5.08
2022-11-18,35.08451564559999,10.359712230215829,868.75,14552031.625,2.540167753467239e+20,16750.54,5.08
2022-11-19,35.08451564559999,9.79591836734694,918.75,15288459.375,2.6863644587027635e+20,16640.5,5.08
2022-11-20,34.078945540180634,9.664429530201344,931.25,15441801.25,2.722913635011645e+20,16581.8,5.08
2022-11-21,33.781220896186426,11.16279069767442,806.25,12948786.1875,2.369496539708256e+20,16060.51,5.08
